timestamp,temp,hum,air
2024-07-08 16:30:00,32.51,67.12,17.0
2024-07-08 16:40:00,31.82,67.43,17.0
2024-07-08 16:50:00,30.11,66.79,17.0
2024-07-08 17:00:00,28.4,66.15,17.0
2024-07-08 17:10:00,28.06,64.89,19.0
2024-07-08 17:20:00,29.26,65.04,20.0
2024-07-08 17:30:00,30.46,65.2,21.0
2024-07-08 17:40:00,27.38,65.83,20.0
2024-07-08 17:50:00,28.74,65.93,20.5
2024-07-08 18:00:00,30.11,66.03,21.0
2024-07-08 18:10:00,31.48,65.93,22.0
2024-07-08 18:20:00,32.16,66.04,22.0
2024-07-08 18:30:00,32.85,66.16,22.0
2024-07-08 18:40:00,32.85,65.17,23.0
2024-07-08 18:50:00,33.36,65.17,23.5
2024-07-08 19:00:00,33.88,65.17,24.0
2024-07-08 19:10:00,31.14,65.28,24.0
2024-07-08 19:20:00,31.14,65.47,24.0
2024-07-08 19:30:00,31.14,65.67,24.0
2024-07-08 19:40:00,28.4,65.73,24.0
2024-07-08 19:50:00,28.74,66.07,24.0
2024-07-08 20:00:00,29.09,66.41,24.0
2024-07-08 20:10:00,30.11,66.31,23.0
2024-07-08 20:20:00,30.96,66.44,23.5
2024-07-08 20:30:00,31.82,66.57,24.0
2024-07-08 20:40:00,30.8,67.07,24.0
2024-07-08 20:50:00,30.12,67.34,24.0
2024-07-08 21:00:00,29.43,67.62,24.0
2024-07-08 21:10:00,30.46,68.42,24.0
2024-07-08 21:20:00,30.97,68.76,24.0
2024-07-08 21:30:00,31.48,69.09,24.0
2024-07-08 21:40:00,33.19,70.15,24.0
2024-07-08 21:50:00,31.48,70.52,24.5
2024-07-08 22:00:00,29.77,70.88,25.0
2024-07-08 22:10:00,31.48,71.32,25.0
2024-07-08 22:20:00,30.8,71.46,25.0
2024-07-08 22:30:00,30.11,71.59,25.0
2024-07-08 22:40:00,27.38,72.0,25.0
2024-07-08 22:50:00,27.89,72.22,25.5
2024-07-08 23:00:00,28.4,72.43,26.0
2024-07-08 23:10:00,30.46,72.76,26.0
2024-07-08 23:20:00,30.97,72.95,26.0
2024-07-08 23:30:00,31.48,73.14,26.0
2024-07-08 23:40:00,28.74,73.71,26.0
2024-07-08 23:50:00,29.6,73.83,26.5
2024-07-09 00:00:00,30.46,73.96,27.0
2024-07-09 00:10:00,31.14,74.31,27.0
2024-07-09 00:20:00,30.46,74.57,27.0
2024-07-09 00:30:00,29.77,74.83,27.0
2024-07-09 00:40:00,30.8,75.13,27.0
2024-07-09 00:50:00,29.77,75.29,27.5
2024-07-09 01:00:00,28.74,75.46,28.0
2024-07-09 01:10:00,32.51,76.08,27.0
2024-07-09 01:20:00,29.94,76.28,27.0
2024-07-09 01:30:00,27.38,76.48,27.0
2024-07-09 01:40:00,28.74,77.2,27.0
2024-07-09 01:50:00,29.77,77.46,26.5
2024-07-09 02:00:00,30.8,77.71,26.0
2024-07-09 02:10:00,28.06,77.84,28.0
2024-07-09 02:20:00,28.4,78.03,28.0
2024-07-09 02:30:00,28.74,78.21,28.0
2024-07-09 02:40:00,28.4,78.03,27.0
2024-07-09 02:50:00,28.06,77.88,27.5
2024-07-09 03:00:00,27.72,77.72,28.0
2024-07-09 03:10:00,30.8,77.83,28.0
2024-07-09 03:20:00,31.83,78.13,28.5
2024-07-09 03:30:00,32.85,78.43,29.0
2024-07-09 03:40:00,32.85,78.77,29.0
2024-07-09 03:50:00,32.0,78.7,29.0
2024-07-09 04:00:00,31.14,78.63,29.0
2024-07-09 04:10:00,30.46,78.64,30.0
2024-07-09 04:20:00,31.82,78.64,29.5
2024-07-09 04:30:00,33.19,78.64,29.0
2024-07-09 04:40:00,32.51,79.18,29.0
2024-07-09 04:50:00,31.82,79.35,29.0
2024-07-09 05:00:00,31.14,79.52,29.0
2024-07-09 05:10:00,30.8,79.75,29.0
2024-07-09 05:20:00,29.77,80.04,29.0
2024-07-09 05:30:00,28.74,80.33,29.0
2024-07-09 05:40:00,32.17,80.4,29.0
2024-07-09 05:50:00,30.63,80.71,29.5
2024-07-09 06:00:00,29.09,81.02,30.0
2024-07-09 06:10:00,30.46,81.13,31.0
2024-07-09 06:20:00,30.63,80.9,31.0
2024-07-09 06:30:00,30.8,80.66,31.0
2024-07-09 06:40:00,29.77,76.11,33.0
2024-07-09 06:50:00,29.6,74.76,33.5
2024-07-09 07:00:00,29.43,73.4,34.0
2024-07-09 07:10:00,28.4,71.62,36.0
2024-07-09 07:20:00,30.28,70.64,36.5
2024-07-09 07:30:00,32.17,69.65,37.0
2024-07-09 07:40:00,28.74,67.71,37.0
2024-07-09 07:50:00,28.06,66.49,37.0
2024-07-09 08:00:00,27.38,65.27,37.0
2024-07-09 08:10:00,30.46,63.38,38.0
2024-07-09 08:20:00,28.92,62.72,38.0
2024-07-09 08:30:00,27.38,62.05,38.0
2024-07-09 08:40:00,32.85,61.03,38.0
2024-07-09 08:50:00,32.16,61.44,38.0
2024-07-09 09:00:00,31.48,61.86,38.0
2024-07-09 09:10:00,31.48,62.1,38.0
2024-07-09 09:20:00,31.65,62.14,37.5
2024-07-09 09:30:00,31.82,62.19,37.0
2024-07-09 09:40:00,30.8,61.99,36.0
2024-07-09 09:50:00,30.63,62.18,35.5
2024-07-09 10:00:00,30.46,62.38,35.0
2024-07-09 10:10:00,33.88,62.14,34.0
2024-07-09 10:20:00,31.48,61.96,33.5
2024-07-09 10:30:00,29.09,61.79,33.0
2024-07-09 10:40:00,32.51,61.88,32.0
2024-07-09 10:50:00,31.48,62.05,31.0
2024-07-09 11:00:00,30.46,62.22,30.0
2024-07-09 11:10:00,29.77,61.71,31.0
2024-07-09 11:20:00,31.83,61.74,31.0
2024-07-09 11:30:00,33.88,61.76,31.0
2024-07-09 11:40:00,33.19,61.9,30.0
2024-07-09 11:50:00,30.96,62.03,30.0
2024-07-09 12:00:00,28.74,62.16,30.0
2024-07-09 12:10:00,32.85,61.71,31.0
2024-07-09 12:20:00,31.66,61.64,30.5
2024-07-09 12:30:00,30.46,61.57,30.0
2024-07-09 12:40:00,32.85,61.66,30.0
2024-07-09 12:50:00,30.8,61.28,30.0
2024-07-09 13:00:00,28.74,60.9,30.0
2024-07-09 13:10:00,31.82,62.73,30.0
2024-07-09 13:20:00,30.46,63.15,29.5
2024-07-09 13:30:00,29.09,63.57,29.0
2024-07-09 13:40:00,29.77,63.87,29.0
2024-07-09 13:50:00,29.6,64.18,29.5
2024-07-09 14:00:00,29.43,64.5,30.0
2024-07-09 14:10:00,30.46,64.56,29.0
2024-07-09 14:20:00,31.32,64.34,29.5
2024-07-09 14:30:00,32.17,64.13,30.0
2024-07-09 14:40:00,31.48,64.05,29.0
2024-07-09 14:50:00,30.28,63.96,29.0
2024-07-09 15:00:00,29.09,63.86,29.0
2024-07-09 15:10:00,28.4,62.9,29.0
2024-07-09 15:20:00,30.97,62.08,29.0
2024-07-09 15:30:00,33.54,61.27,29.0
2024-07-09 15:40:00,27.72,61.92,30.0
2024-07-09 15:50:00,29.26,62.16,30.5
2024-07-09 16:00:00,30.8,62.39,31.0
2024-07-09 16:10:00,30.8,62.13,31.0
2024-07-09 16:20:00,31.99,62.58,31.0
2024-07-09 16:30:00,33.19,63.02,31.0
2024-07-09 16:40:00,32.51,62.9,30.0
2024-07-09 16:50:00,32.68,62.92,30.5
2024-07-09 17:00:00,32.85,62.95,31.0
2024-07-09 17:10:00,30.62,62.74,30.5
2024-07-09 17:20:00,28.4,62.52,30.0
2024-07-09 17:30:00,31.14,61.66,30.0
2024-07-09 17:40:00,30.46,61.92,30.0
2024-07-09 17:50:00,29.77,62.18,30.0
2024-07-09 18:00:00,28.06,61.75,30.0
2024-07-09 18:10:00,28.74,61.92,30.0
2024-07-09 18:20:00,29.43,62.1,30.0
2024-07-09 18:30:00,30.11,62.21,30.0
2024-07-09 18:40:00,30.8,62.6,29.5
2024-07-09 18:50:00,31.48,62.98,29.0
2024-07-09 19:00:00,27.72,63.09,31.0
2024-07-09 19:10:00,29.26,63.12,31.0
2024-07-09 19:20:00,30.8,63.16,31.0
2024-07-09 19:30:00,27.38,63.78,30.0
2024-07-09 19:40:00,30.46,63.96,30.5
2024-07-09 19:50:00,33.54,64.15,31.0
2024-07-09 20:00:00,31.14,64.46,31.0
2024-07-09 20:10:00,31.14,64.56,30.5
2024-07-09 20:20:00,31.14,64.65,30.0
2024-07-09 20:30:00,32.17,65.26,31.0
2024-07-09 20:40:00,30.97,65.6,31.0
2024-07-09 20:50:00,29.77,65.94,31.0
2024-07-09 21:00:00,28.74,66.32,30.0
2024-07-09 21:10:00,30.96,66.75,30.0
2024-07-09 21:20:00,33.19,67.18,30.0
2024-07-09 21:30:00,29.09,68.1,30.0
2024-07-09 21:40:00,31.32,68.07,30.5
2024-07-09 21:50:00,33.54,68.05,31.0
2024-07-09 22:00:00,31.14,68.81,31.0
2024-07-09 22:10:00,32.34,69.0,31.0
2024-07-09 22:20:00,33.54,69.2,31.0
2024-07-09 22:30:00,29.77,69.84,29.0
2024-07-09 22:40:00,30.46,70.02,30.0
2024-07-09 22:50:00,31.14,70.19,31.0
2024-07-09 23:00:00,29.77,70.63,27.0
2024-07-09 23:10:00,30.8,70.83,30.0
2024-07-09 23:20:00,31.82,71.03,33.0
2024-07-09 23:30:00,33.88,71.29,31.0
2024-07-09 23:40:00,33.2,71.44,31.0
2024-07-09 23:50:00,32.51,71.58,31.0
2024-07-10 00:00:00,30.8,71.94,31.0
2024-07-10 00:10:00,30.8,72.16,31.0
2024-07-10 00:20:00,30.8,72.38,31.0
2024-07-10 00:30:00,31.82,72.62,32.0
2024-07-10 00:40:00,29.94,72.88,32.5
2024-07-10 00:50:00,28.06,73.14,33.0
2024-07-10 01:00:00,32.17,73.47,33.0
2024-07-10 01:10:00,32.0,73.81,33.5
2024-07-10 01:20:00,31.82,74.15,34.0
2024-07-10 01:30:00,29.77,74.76,34.0
2024-07-10 01:40:00,28.74,74.96,34.5
2024-07-10 01:50:00,27.72,75.17,35.0
2024-07-10 02:00:00,30.8,75.73,35.0
2024-07-10 02:10:00,29.09,75.8,35.0
2024-07-10 02:20:00,27.38,75.87,35.0
2024-07-10 02:30:00,33.19,75.93,35.0
2024-07-10 02:40:00,33.36,76.01,34.5
2024-07-10 02:50:00,33.54,76.09,34.0
2024-07-10 03:00:00,29.43,76.35,34.0
2024-07-10 03:10:00,28.92,76.44,34.5
2024-07-10 03:20:00,28.4,76.54,35.0
2024-07-10 03:30:00,33.19,76.77,35.0
2024-07-10 03:40:00,31.65,76.85,34.5
2024-07-10 03:50:00,30.11,76.93,34.0
2024-07-10 04:00:00,31.82,77.23,35.0
2024-07-10 04:10:00,30.96,77.38,35.0
2024-07-10 04:20:00,30.11,77.52,35.0
2024-07-10 04:30:00,33.54,77.95,35.0
2024-07-10 04:40:00,31.32,78.19,34.5
2024-07-10 04:50:00,29.09,78.43,34.0
2024-07-10 05:00:00,31.82,78.66,34.0
2024-07-10 05:10:00,30.96,79.1,34.0
2024-07-10 05:20:00,30.11,79.55,34.0
2024-07-10 05:30:00,27.38,79.35,34.0
2024-07-10 05:40:00,29.26,79.44,34.5
2024-07-10 05:50:00,31.14,79.53,35.0
2024-07-10 06:00:00,29.43,79.81,34.0
2024-07-10 06:10:00,29.6,80.07,34.0
2024-07-10 06:20:00,29.77,80.33,34.0
2024-07-10 06:30:00,30.8,78.38,32.0
2024-07-10 06:40:00,30.63,76.63,33.0
2024-07-10 06:50:00,30.46,74.89,34.0
2024-07-10 07:00:00,29.77,72.3,35.0
2024-07-10 07:10:00,29.94,71.4,35.5
2024-07-10 07:20:00,30.11,70.49,36.0
2024-07-10 07:30:00,28.4,68.6,37.0
2024-07-10 07:40:00,30.11,67.53,37.5
2024-07-10 07:50:00,31.82,66.46,38.0
2024-07-10 08:00:00,27.38,64.04,38.0
2024-07-10 08:10:00,29.78,63.27,38.0
2024-07-10 08:20:00,32.17,62.5,38.0
2024-07-10 08:30:00,29.09,61.36,39.0
2024-07-10 08:40:00,28.74,61.1,39.5
2024-07-10 08:50:00,28.4,60.84,40.0
2024-07-10 09:00:00,31.48,60.2,39.0
2024-07-10 09:10:00,31.14,59.92,39.5
2024-07-10 09:20:00,30.8,59.63,40.0
2024-07-10 09:30:00,29.77,59.58,39.0
2024-07-10 09:40:00,28.92,59.32,39.0
2024-07-10 09:50:00,28.06,59.07,39.0
2024-07-10 10:00:00,30.8,59.32,39.0
2024-07-10 10:10:00,29.94,59.0,39.5
