id,clientID,topic,message,timestamp
882,t2g5:108,t2g5, temp; 31.48 humid; 62.10 quality; 38,9/7/2024 9:18
883,t2g5:108,t2g5, temp; 31.82 humid; 62.19 quality; 37,9/7/2024 9:33
884,t2g5:108,t2g5, temp; 30.80 humid; 61.99 quality; 36,9/7/2024 9:48
885,t2g5:108,t2g5, temp; 30.46 humid; 62.38 quality; 35,9/7/2024 10:03
886,t2g5:108,t2g5, temp; 33.88 humid; 62.14 quality; 34,9/7/2024 10:18
887,t2g5:108,t2g5, temp; 29.09 humid; 61.79 quality; 33,9/7/2024 10:33
888,t2g5:108,t2g5, temp; 32.51 humid; 61.88 quality; 32,9/7/2024 10:49
889,t2g5:108,t2g5, temp; 30.46 humid; 62.22 quality; 30,9/7/2024 11:04
890,t2g5:108,t2g5, temp; 29.77 humid; 61.71 quality; 31,9/7/2024 11:19
891,t2g5:108,t2g5, temp; 33.88 humid; 61.76 quality; 31,9/7/2024 11:34
892,t2g5:108,t2g5, temp; 33.19 humid; 61.90 quality; 30,9/7/2024 11:49
893,t2g5:108,t2g5, temp; 28.74 humid; 62.16 quality; 30,9/7/2024 12:04
894,t2g5:108,t2g5, temp; 32.85 humid; 61.71 quality; 31,9/7/2024 12:19
895,t2g5:108,t2g5, temp; 30.46 humid; 61.57 quality; 30,9/7/2024 12:34
896,t2g5:108,t2g5, temp; 32.85 humid; 61.66 quality; 30,9/7/2024 12:49
897,t2g5:108,t2g5, temp; 28.74 humid; 60.90 quality; 30,9/7/2024 13:04
898,t2g5:108,t2g5, temp; 31.82 humid; 62.73 quality; 30,9/7/2024 13:19
899,t2g5:108,t2g5, temp; 29.09 humid; 63.57 quality; 29,9/7/2024 13:34
900,t2g5:108,t2g5, temp; 29.77 humid; 63.87 quality; 29,9/7/2024 13:49
901,t2g5:108,t2g5, temp; 29.43 humid; 64.50 quality; 30,9/7/2024 14:04
902,t2g5:108,t2g5, temp; 30.46 humid; 64.56 quality; 29,9/7/2024 14:19
903,t2g5:108,t2g5, temp; 32.17 humid; 64.13 quality; 30,9/7/2024 14:34
904,t2g5:108,t2g5, temp; 31.48 humid; 64.05 quality; 29,9/7/2024 14:49
905,t2g5:108,t2g5, temp; 29.09 humid; 63.86 quality; 29,9/7/2024 15:04
906,t2g5:108,t2g5, temp; 28.40 humid; 62.90 quality; 29,9/7/2024 15:19
907,t2g5:108,t2g5, temp; 33.54 humid; 61.27 quality; 29,9/7/2024 15:34
908,t2g5:108,t2g5, temp; 27.72 humid; 61.92 quality; 30,9/7/2024 15:49
909,t2g5:108,t2g5, temp; 30.80 humid; 62.39 quality; 31,9/7/2024 16:04
910,t2g5:108,t2g5, temp; 30.80 humid; 62.13 quality; 31,9/7/2024 16:19
911,t2g5:108,t2g5, temp; 33.19 humid; 63.02 quality; 31,9/7/2024 16:34
912,t2g5:108,t2g5, temp; 32.51 humid; 62.90 quality; 30,9/7/2024 16:49
913,t2g5:108,t2g5, temp; 32.85 humid; 62.95 quality; 31,9/7/2024 17:05
914,t2g5:108,t2g5, temp; 28.40 humid; 62.52 quality; 30,9/7/2024 17:20
915,t2g5:108,t2g5, temp; 31.14 humid; 61.66 quality; 30,9/7/2024 17:35
916,t2g5:108,t2g5, temp; 29.77 humid; 62.18 quality; 30,9/7/2024 17:50
917,t2g5:108,t2g5, temp; 28.06 humid; 61.75 quality; 30,9/7/2024 18:05
918,t2g5:108,t2g5, temp; 29.43 humid; 62.10 quality; 30,9/7/2024 18:20
919,t2g5:108,t2g5, temp; 30.11 humid; 62.21 quality; 30,9/7/2024 18:35
920,t2g5:108,t2g5, temp; 31.48 humid; 62.98 quality; 29,9/7/2024 18:50
921,t2g5:108,t2g5, temp; 27.72 humid; 63.09 quality; 31,9/7/2024 19:05
922,t2g5:108,t2g5, temp; 30.80 humid; 63.16 quality; 31,9/7/2024 19:20
923,t2g5:108,t2g5, temp; 27.38 humid; 63.78 quality; 30,9/7/2024 19:35
924,t2g5:108,t2g5, temp; 33.54 humid; 64.15 quality; 31,9/7/2024 19:50
