id,clientID,topic,message,timestamp
452,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:33:36
453,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:33:37
454,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:33:39
455,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:33:40
456,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:33:41
457,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:33:42
458,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:33:44
459,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:33:45
460,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:33:46
461,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:33:47
462,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:33:49
463,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:34:20
464,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:37:41
465,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:40:10
466,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:41:50
467,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:43:30
468,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:45:54
469,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:48:00
470,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:48:01
471,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:48:02
472,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:48:03
473,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:48:04
474,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:48:06
475,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:48:07
476,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:48:08
477,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:48:09
478,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:48:11
479,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:48:12
480,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:48:13
481,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:48:14
482,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:48:16
483,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:48:17
484,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:49:47
485,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:49:48
486,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:49:49
487,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:49:51
488,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:49:52
489,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:49:53
490,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:49:54
491,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:49:55
492,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:49:57
493,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:49:58
494,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:49:59
495,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:00
496,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:01
497,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:05
498,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:23
499,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:24
500,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:26
501,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:27
502,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:28
503,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:29
504,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:30
505,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:32
506,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:33
507,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:34
508,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:35
509,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:36
510,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:38
511,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:39
512,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:40
513,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:41
514,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:42
515,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:44
516,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:45
517,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:46
518,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:47
519,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:49
520,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:50
521,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:51
522,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:52
523,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:53
524,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:55
525,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:50:56
526,t1g2:112,t1g2,temperature 0.00,2024-07-03 10:56:11
527,t1g2:112,t1g2,temperature 23.68,2024-07-03 10:58:44
528,t1g2:110,t1g2,23.81;64.80;21,2024-07-10 09:40:21
529,t1g2:110,t1g2,23.81;64.85;24,2024-07-10 09:40:30
530,t1g2:110,t1g2,23.83;64.93;23,2024-07-10 09:40:40
531,t1g2:110,t1g2,23.79;65.67;24,2024-07-10 09:40:51
532,t1g2:110,t1g2,23.81;65.02;24,2024-07-10 09:41:01
533,t1g2:110,t1g2,23.89;64.78;24,2024-07-10 09:41:10
534,t1g2:110,t1g2,23.84;64.21;23,2024-07-10 09:41:20
535,t1g2:110,t1g2,23.79;64.10;24,2024-07-10 09:41:31
536,t1g2:110,t1g2,23.77;64.25;24,2024-07-10 09:41:41
537,t1g2:110,t1g2,23.73;64.27;23,2024-07-10 09:41:51
538,t1g2:110,t1g2,23.72;64.40;24,2024-07-10 09:42:01
539,t1g2:110,t1g2,23.74;64.55;24,2024-07-10 09:42:11
540,t1g2:110,t1g2,23.72;64.73;24,2024-07-10 09:42:21
541,t1g2:110,t1g2,23.68;65.88;24,2024-07-10 09:42:31
542,t1g2:110,t1g2,23.73;66.05;25,2024-07-10 09:42:41
543,t1g2:110,t1g2,23.68;65.20;24,2024-07-10 09:42:51
544,t1g2:110,t1g2,23.73;65.37;24,2024-07-10 09:43:01
545,t1g2:110,t1g2,23.86;64.96;21,2024-07-10 09:43:36
546,t1g2:110,t1g2,23.84;64.90;25,2024-07-10 09:43:46
547,t1g2:110,t1g2,23.83;65.18;25,2024-07-10 09:43:56
548,t1g2:110,t1g2,23.83;64.94;24,2024-07-10 09:44:06
549,t1g2:110,t1g2,23.81;65.18;24,2024-07-10 09:44:16
550,t1g2:110,t1g2,23.87;66.64;25,2024-07-10 09:44:26
551,t1g2:110,t1g2,23.91;65.58;25,2024-07-10 09:44:36
552,t1g2:110,t1g2,23.97;65.04;24,2024-07-10 09:44:46
553,t1g2:110,t1g2,23.97;64.93;25,2024-07-10 09:44:56
554,t1g2:110,t1g2,23.97;64.52;24,2024-07-10 09:45:06
555,t1g2:110,t1g2,24.00;64.35;24,2024-07-10 09:45:16
556,t1g2:110,t1g2,23.97;64.29;24,2024-07-10 09:45:26
557,t1g2:110,t1g2,23.96;64.09;24,2024-07-10 09:45:36
558,t1g2:110,t1g2,23.80;64.94;22,2024-07-10 09:46:12
559,t1g2:110,t1g2,23.76;64.63;23,2024-07-10 09:46:22
560,t1g2:110,t1g2,23.70;64.89;23,2024-07-10 09:46:32
561,t1g2:110,t1g2,23.70;64.86;24,2024-07-10 09:46:42
562,t1g2:110,t1g2,23.62;64.65;24,2024-07-10 09:46:52
563,t1g2:110,t1g2,23.62;64.74;23,2024-07-10 09:47:02
564,t1g2:110,t1g2,23.68;64.72;24,2024-07-10 09:47:12
565,t1g2:110,t1g2,23.76;65.12;21,2024-07-10 09:47:51
566,t1g2:110,t1g2,23.73;64.39;21,2024-07-10 09:48:48
567,t1g2:110,t1g2,23.70;64.44;24,2024-07-10 09:48:58
568,t1g2:110,t1g2,23.70;64.69;24,2024-07-10 09:49:08
569,t1g2:110,t1g2,23.76;65.35;25,2024-07-10 09:49:18
570,t1g2:110,t1g2,23.74;64.88;21,2024-07-10 09:49:50
571,t1g2:110,t1g2,23.70;64.63;24,2024-07-10 09:50:00
572,t1g2:110,t1g2,23.74;64.79;24,2024-07-10 09:50:10
573,t1g2:110,t1g2,23.70;65.10;25,2024-07-10 09:50:20
574,t1g2:110,t1g2,23.72;65.69;24,2024-07-10 09:50:30
