id,clientID,topic,message,timestamp
79,t2g2:114,t2g2,24.09;62.75;24;Min;,2024-07-01 15:07:49
80,t2g2:114,t2g2,23.95;63.06;24;Min;,2024-07-01 15:07:59
81,t2g2:114,t2g2,23.87;63.18;24;Min;,2024-07-01 15:08:09
82,t2g2:114,t2g2,23.83;63.54;24;Min;,2024-07-01 15:08:19
83,t2g2:114,t2g2,23.71;63.68;24;Min;,2024-07-01 15:08:29
84,t2g2:114,t2g2,23.67;63.82;24;Min;,2024-07-01 15:08:39
85,t2g2:114,t2g2,23.57;64.13;24;Min;,2024-07-01 15:08:49
86,t2g2:114,t2g2,23.53;64.45;24;Min;,2024-07-01 15:08:59
87,t2g2:114,t2g2,23.43;64.70;25;Min;,2024-07-01 15:09:10
88,t2g2:114,t2g2,23.37;64.99;24;Min;,2024-07-01 15:09:19
89,t2g2:114,t2g2,23.32;65.42;24;Min;,2024-07-01 15:09:29
90,t2g2:114,t2g2,23.33;65.36;24;Min;,2024-07-01 15:09:39
91,t2g2:114,t2g2,23.30;65.41;24;Min;,2024-07-01 15:09:49
92,t2g2:114,t2g2,23.26;65.47;24;Min;,2024-07-01 15:09:59
93,t2g2:114,t2g2,23.23;65.55;24;Min;,2024-07-01 15:10:09
94,t2g2:114,t2g2,23.22;65.64;24;Min;,2024-07-01 15:10:19
95,t2g2:114,t2g2,23.22;65.77;24;Min;,2024-07-01 15:10:29
96,t2g2:114,t2g2,23.14;65.86;24;Min;,2024-07-01 15:10:39
97,t2g2:114,t2g2,23.09;65.94;24;Min;,2024-07-01 15:10:49
98,t2g2:114,t2g2,23.09;66.34;23;Min;,2024-07-01 15:10:59
99,t2g2:114,t2g2,23.12;66.28;24;Min;,2024-07-01 15:11:09
100,t2g2:114,t2g2,23.12;66.28;24;Min;,2024-07-01 15:11:19
101,t2g2:114,t2g2,23.12;66.29;24;Min;,2024-07-01 15:11:29
102,t2g2:114,t2g2,23.12;66.30;24;Min;,2024-07-01 15:11:40
103,t2g2:114,t2g2,23.12;66.51;24;Min;,2024-07-01 15:11:50
104,t2g2:114,t2g2,23.09;66.60;23;Min;,2024-07-01 15:11:59
105,t2g2:114,t2g2,23.12;66.78;24;Min;,2024-07-01 15:12:09
106,t2g2:114,t2g2,23.09;66.78;24;Min;,2024-07-01 15:12:19
107,t2g2:114,t2g2,23.07;66.91;24;Min;,2024-07-01 15:12:30
108,t2g2:114,t2g2,23.14;66.82;25;Min;,2024-07-01 15:12:40
109,t2g2:114,t2g2,23.20;66.68;24;Min;,2024-07-01 15:12:49
110,t2g2:114,t2g2,23.14;66.60;24;Min;,2024-07-01 15:12:59
111,t2g2:114,t2g2,23.14;66.46;24;Min;,2024-07-01 15:13:10
112,t2g2:114,t2g2,23.12;66.43;23;Min;,2024-07-01 15:13:20
113,t2g2:114,t2g2,23.14;66.35;23;Min;,2024-07-01 15:13:30
114,t2g2:114,t2g2,23.10;66.27;23;Min;,2024-07-01 15:13:40
115,t2g2:114,t2g2,23.14;66.28;24;Min;,2024-07-01 15:13:50
116,t2g2:114,t2g2,23.23;66.09;24;Min;,2024-07-01 15:14:00
117,t2g2:114,t2g2,23.23;65.94;24;Min;,2024-07-01 15:14:10
118,t2g2:114,t2g2,23.26;65.90;23;Min;,2024-07-01 15:14:20
119,t2g2:114,t2g2,23.32;66.83;23;Min;,2024-07-01 15:14:30
120,t2g2:114,t2g2,23.29;66.33;23;Min;,2024-07-01 15:14:40
121,t2g2:114,t2g2,23.24;66.09;24;Min;,2024-07-01 15:14:50
122,t2g2:114,t2g2,23.17;66.09;24;Min;,2024-07-01 15:15:00
123,t2g2:114,t2g2,23.19;66.21;23;Min;,2024-07-01 15:15:10
124,t2g2:114,t2g2,23.17;66.30;24;Min;,2024-07-01 15:15:20
125,t2g2:114,t2g2,23.13;66.37;24;Min;,2024-07-01 15:15:30
126,t2g2:114,t2g2,23.07;66.69;24;Min;,2024-07-01 15:15:40
127,t2g2:114,t2g2,23.14;66.58;25;Min;,2024-07-01 15:15:50
128,t2g2:114,t2g2,23.07;66.65;22;Min;,2024-07-01 15:16:00
129,t2g2:114,t2g2,23.09;66.96;23;Min;,2024-07-01 15:16:10
130,t2g2:114,t2g2,23.14;66.87;22;Min;,2024-07-01 15:16:20
131,t2g2:114,t2g2,23.07;66.90;23;Min;,2024-07-01 15:16:30
132,t2g2:114,t2g2,23.09;67.20;23;Min;,2024-07-01 15:16:40
133,t2g2:114,t2g2,23.07;67.27;24;Min;,2024-07-01 15:16:50
134,t2g2:114,t2g2,23.09;67.14;24;Min;,2024-07-01 15:17:00
135,t2g2:114,t2g2,23.05;67.19;23;Min;,2024-07-01 15:17:10
136,t2g2:114,t2g2,23.07;67.34;23;Min;,2024-07-01 15:17:20
137,t2g2:114,t2g2,23.06;67.42;23;Min;,2024-07-01 15:17:30
138,t2g2:114,t2g2,23.10;67.35;24;Min;,2024-07-01 15:17:40
139,t2g2:114,t2g2,23.07;67.07;24;Min;,2024-07-01 15:17:50
140,t2g2:114,t2g2,23.10;66.90;23;Min;,2024-07-01 15:18:00
141,t2g2:114,t2g2,23.06;67.16;24;Min;,2024-07-01 15:28:10
142,t2g2:114,t2g2,22.82;68.51;25;Min;,2024-07-01 15:38:10
143,t2g2:114,t2g2,22.71;70.58;25;Min;,2024-07-01 15:48:11
144,t2g2:114,t2g2,23.27;68.35;26;Min;,2024-07-01 15:58:11
